vehicle,target_D,beta_measured,beta_r2,rms_amplitude,energy,rms_acceleration,seed,realization
Vehicle A,2.05,2.2547480719940256,0.9041801287505468,5.0,inf,inf,20500,0
Vehicle B,2.05,2.2547480719940256,0.9041801287505468,5.0,4.9269045728239975,2.2196631665241457,20500,0
Vehicle C,2.05,2.2547480719940256,0.9041801287505468,5.0,5.98603536669508,2.446637563411279,20500,0
Vehicle A,2.05,2.237523051638486,0.9053080161162733,5.0,5.6958302847948055,2.3865938667470856,20501,1
Vehicle B,2.05,2.237523051638486,0.9053080161162733,5.0,3.6716638231457783,1.916158611166043,20501,1
Vehicle C,2.05,2.237523051638486,0.9053080161162733,5.0,4.459529235114849,2.111759748436088,20501,1
Vehicle A,2.05,2.481239291356397,0.9152288982991655,5.0,4.459529235114849,2.111759748436088,20502,2
Vehicle B,2.05,2.481239291356397,0.9152288982991655,5.0,8.776831897378482,2.9625718383489845,20502,2
Vehicle C,2.05,2.481239291356397,0.9152288982991655,5.0,10.648176016035222,3.263154304662166,20502,2
Vehicle A,2.05,2.2552835664156112,0.8874049332397304,5.0,10.648176016035222,3.263154304662166,20503,3
Vehicle B,2.05,2.2552835664156112,0.8874049332397304,5.0,6.427624030462388,2.5352759278749892,20503,3
Vehicle C,2.05,2.2552835664156112,0.8874049332397304,5.0,7.79530731208424,2.7920077564513033,20503,3
Vehicle A,2.05,2.161624295354327,0.890722794449196,5.000000000000001,4.459529235114849,2.111759748436088,20504,4
Vehicle B,2.05,2.161624295354327,0.890722794449196,5.000000000000001,1.7753977615150625,1.3324405283220195,20504,4
Vehicle C,2.05,2.161624295354327,0.890722794449196,5.000000000000001,2.151629975700013,1.4668435416567143,20504,4
Vehicle A,2.05,2.282300569243626,0.864928030105431,5.000000000000001,2.151629975700013,1.4668435416567143,20505,5
Vehicle B,2.05,2.282300569243626,0.864928030105431,5.000000000000001,4.668622049325104,2.1606994352119187,20505,5
Vehicle C,2.05,2.282300569243626,0.864928030105431,5.000000000000001,5.649573636724765,2.376883176919885,20505,5
Vehicle A,2.05,2.2539574105144946,0.8687163548321067,5.0,4.668622049325104,2.1606994352119187,20506,6
Vehicle B,2.05,2.2539574105144946,0.8687163548321067,5.0,3.993893240912275,1.9984727270874314,20506,6
Vehicle C,2.05,2.2539574105144946,0.8687163548321067,5.0,4.853828215837252,2.2031405347451742,20506,6
Vehicle A,2.05,2.270426627683718,0.8661086503175696,4.999999999999999,3.993893240912275,1.9984727270874314,20507,7
Vehicle B,2.05,2.270426627683718,0.8661086503175696,4.999999999999999,5.408305087763335,2.325576291537935,20507,7
