tile,window_size_m,beta,D,r2
DTM_1km_6180_710,50,3.0160916800411433,1.9919541599794284,0.9351635588866876
DTM_1km_6180_710,100,3.034667027590372,1.982666486204814,0.9139099197278601
DTM_1km_6180_710,200,3.0552522450511317,1.9723738774744342,0.9324029658219631
DTM_1km_6180_711,50,3.8577823853062894,1.5711088073468553,0.9418035216639905
DTM_1km_6180_711,100,3.455585516460509,1.7722072417697454,0.9506644256094308
DTM_1km_6180_711,200,3.403312844987644,1.798343577506178,0.9508791480285096
DTM_1km_6180_712,50,2.8290299229931093,2.085485038503445,0.9065819674737081
DTM_1km_6180_712,100,2.7615665211598053,2.1192167394200974,0.8285066404812703
DTM_1km_6180_712,200,2.8280175859739334,2.0859912070130333,0.921533279457641
DTM_1km_6180_713,50,2.148787012127261,2.4256064939363693,0.8894667214774006
DTM_1km_6180_713,100,2.086933478849262,2.4565332605753687,0.8097623257100914
DTM_1km_6180_713,200,2.8098705091112595,2.09506474544437,0.9320640638621367
DTM_1km_6180_714,50,2.585775334671028,2.2071123326644857,0.9468054070045508
DTM_1km_6180_714,100,2.4228925580779896,2.288553720961005,0.9173776683906617
DTM_1km_6180_714,200,2.5716048518011947,2.2141975740994027,0.9418375013775916
DTM_1km_6180_715,50,2.5402269098228603,2.22988654508857,0.8995347904810054
DTM_1km_6180_715,100,2.5314392013634035,2.2342803993182985,0.9261853046676694
DTM_1km_6180_715,200,2.837058523079697,2.081470738460151,0.924268306662151
DTM_1km_6180_716,50,2.6791030047164597,2.16044849764177,0.9363933410009071
DTM_1km_6180_716,100,2.6286659489364395,2.1856670255317803,0.8889868803791326
DTM_1km_6180_716,200,3.142267323302966,1.928866338348517,0.9027264585696477
DTM_1km_6180_717,50,3.2705729615947785,1.8647135192026107,0.939520630703774
DTM_1km_6180_717,100,2.8585080082466914,2.0707459958766545,0.8783507238280185
DTM_1km_6180_717,200,2.891181902454699,2.0544090487726505,0.89024621421854
DTM_1km_6180_718,50,3.181293053476401,1.9093534732617996,0.9519492517725738
DTM_1km_6180_718,100,3.0326275225897086,1.9836862387051457,0.9191980984577298
DTM_1km_6180_718,200,2.731384972297877,2.1343075138510614,0.8851903826267993
DTM_1km_6180_719,50,3.4680410918160587,1.7659794540919707,0.9088860591046994
DTM_1km_6180_719,100,3.277543795642224,1.861228102178888,0.9072292912938136
DTM_1km_6180_719,200,2.713528307533636,2.143235846233182,0.9031628555725839
