target_D,actual_D,fractal_r_squared,realization,rms_acceleration,rms_force,rms_stress,total_vibration_energy,total_force_energy,peak_frequency_acc,peak_frequency_force,spectral_exponent_acc,spectral_amplitude_acc,spectral_r2_acc,spectral_exponent_force,spectral_amplitude_force,spectral_r2_force
2.05,2.279162661879886,0.9979423667815914,0,12.519251282795988,67691.5585504536,454448.82156549435,0.003519029151057859,13742535.976969896,0.375,0.0,0.09425208515208006,0.004326324952986268,0.0685084291049219,0.03007474182592916,51766.21584869733,0.030241008148660337
2.05,2.2816726300918235,0.997916359663786,1,10.514968722899704,74012.34942333784,381693.36464125925,0.0024824592132268704,16428814.899924202,0.375,0.0,0.09425208515207997,0.0030519568829731132,0.06850842910492184,0.030074741799898472,61885.05380462805,0.030241008097960473
2.05,2.2947836581765126,0.997595987097075,2,40.98008831125704,43269.70323842793,1487577.2056986308,0.03770612746270306,5615205.939914789,0.375,0.0,0.09425208515208014,0.046356240065057376,0.06850842910492203,0.030074741840325877,21151.697415158316,0.030241008176698725
2.05,2.266849009908839,0.9981307456943324,3,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.05,2.2650438646248747,0.9981096136570282,4,9.194231166047635,13187.72543308196,333750.5913275291,0.0018980034127227272,521600.0792976597,0.375,0.0,0.09425208515207997,0.0023334218538221003,0.06850842910492184,0.03007474184150155,1964.7947318448628,0.03024100817898824
2.05,2.286242080944405,0.9978801289839005,5,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.05,2.260923065009966,0.9982364939839486,6,13.943176028176396,259673.53364100537,506137.28982280317,0.004365053508628942,202233561.99375588,0.375,0.0,0.09425208515207992,0.0053664346343436035,0.06850842910492182,0.03007474183778149,761785.6150428549,0.030241008171743
2.05,2.269029169394086,0.9981236338843619,7,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.05,2.2844425093063165,0.9978187060875291,8,22.344662458389184,31244.921321422345,811111.2472395274,0.011210210004083655,2927903.280849872,0.375,0.0,0.09425208515208,0.013781929386491193,0.06850842910492187,0.03007474183011696,11029.003196480136,0.030241008156814315
2.05,2.255444200803694,0.998181157338818,9,9.34395699943719,59318.58673459933,339185.63907956996,0.001960323804729004,10553085.247067638,0.375,0.0,0.09425208515208014,0.0024100390841555264,0.06850842910492196,0.030074741832937294,39751.999897818976,0.030241008162308583
2.05,2.3221195580394096,0.9973099768288687,10,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.05,2.2757736620830884,0.997896282270669,11,8.810474137578746,33933.760796664035,319820.2111941085,0.0017428688694868743,3453518.952802063,0.375,0.0,0.09425208515208007,0.002142698101144561,0.06850842910492198,0.030074741816435917,13008.924106548387,0.03024100813017
2.05,2.2752246382080528,0.9979116869477254,12,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.05,2.2506881823985485,0.9983640409614793,13,15.285234670709155,15511.011676457472,554854.0185467423,0.005245783621900918,721569.3958623318,0.375,0.0,0.09425208515207996,0.006449211872704801,0.06850842910492179,0.030074741823041484,2718.051250446289,0.03024100814303467
2.05,2.3102602559257637,0.9975042932657281,14,9.988744131581871,29492.973700029208,362591.41197642183,0.0022402058573252294,2608765.1407038677,0.375,0.0,0.09425208515207992,0.0027541285065679753,0.06850842910492173,0.0300747418417507,9826.854343986293,0.030241008179470667
2.05,2.278417598950332,0.9979631813679204,15,42.24241167256282,149381.973542501,1533399.5437140304,0.04006485364990847,66925903.22297374,0.375,0.0,0.09425208515208004,0.04925607849290936,0.06850842910492196,0.03007474183844106,252100.54081149737,0.030241008173027755
2.05,2.2521657913961186,0.9983742111140441,16,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.05,2.290348041618955,0.9976883526240778,17,3.9419725916438115,6744.125446448618,143093.60507667036,0.000348893880423902,136410.9191647006,0.375,0.0,0.09425208515208001,0.00042893316196837577,0.06850842910492196,0.030074741763169537,513.8409023935294,0.030241008026430805
2.05,2.291038330268904,0.99776807277364,18,14.373107259242529,20100.4030833543,521743.7935105038,0.0046383923783153026,1211734.2646051636,0.375,0.0,0.09425208515208004,0.0057024798109485434,0.06850842910492187,0.030074741806728335,4564.433930049069,0.03024100811126303
2.05,2.265789291992827,0.9982356128898928,19,5.535987719111094,13006.37563977532,200956.3542037327,0.0006881076520523672,507353.24344838486,0.375,0.0,0.09425208515208008,0.0008459655142441877,0.06850842910492193,0.030074741822219354,1911.1288888990412,0.030241008141433844
2.15,2.3562224404571435,0.9977051887247139,0,11.579893464467474,24378.998276600993,420350.13276016933,0.0030107540493292824,1782500.1243825092,0.375,0.0,0.09425208515207997,0.003701447135498189,0.06850842910492184,0.030074741819677214,6714.429297935224,0.03024100813648483
2.15,2.316600727690623,0.9982999561339974,1,2.071415265893329,2110.445862391439,75192.37415192784,9.633863675878941e-05,13358.149120429198,0.375,0.0,0.0942520851520801,0.00011843955541571418,0.06850842910492198,0.030074741649621445,50.318284224358976,0.030241007805282563
2.15,2.3494654677386335,0.9976720578449817,2,38.84758508312085,39349.523559743,1410167.3385172868,0.03388396343842032,4643835.339427131,0.375,0.0,0.09425208515208,0.041657238470344846,0.06850842910492182,0.0300747418240443,17492.67987738782,0.030241008144987747
2.15,2.348652735846008,0.9978358799255882,3,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
2.15,2.331727621289922,0.9980122576451453,4,2.4708185347826204,5189.1814686896205,89690.7128126091,0.0001370717168470979,80759.86277133094,0.375,0.0,0.09425208515208004,0.000168517157286407,0.0685084291049219,0.030074741697643827,304.21113668810733,0.030241007898811574
2.15,2.3195648479880617,0.9981476578056654,5,inf,inf,inf,,,0.01171875,0.01171875,,,0.0,,,0.0
