Vehicle,ms_kg,mu_kg,ks_Nm,fn_Hz,zeta,scaling_exponent,R_squared
Vehicle_001,319.81,47.54,28656,1.507,0.280,-2.3814,0.9070
Vehicle_002,1416.79,186.46,155508,1.667,0.244,-2.3075,0.9060
Vehicle_003,969.49,125.58,68350,1.336,0.349,-2.4101,0.9013
Vehicle_004,722.37,89.13,169091,2.435,0.377,-2.0737,0.8998
Vehicle_005,2087.47,296.80,252644,1.751,0.362,-2.2235,0.8966
Vehicle_006,2482.18,299.24,145607,1.219,0.250,-2.4734,0.9012
Vehicle_007,1729.71,212.72,73106,1.035,0.267,-2.5940,0.8995
Vehicle_008,1133.37,161.52,92059,1.434,0.229,-2.4137,0.9051
Vehicle_009,1975.34,252.66,242304,1.763,0.359,-2.2074,0.9043
Vehicle_010,2402.95,309.18,347495,1.914,0.274,-2.2060,0.9070
Vehicle_011,1996.23,281.16,122124,1.245,0.353,-2.4479,0.8927
Vehicle_012,553.44,82.11,24472,1.058,0.369,-2.5990,0.8868
Vehicle_013,2366.46,256.75,151545,1.274,0.240,-2.4620,0.9041
Vehicle_014,1494.51,188.47,136261,1.520,0.379,-2.3096,0.9046
Vehicle_015,2136.72,315.04,297612,1.878,0.298,-2.2324,0.9020
Vehicle_016,1755.79,193.34,407282,2.424,0.365,-2.0678,0.9013
Vehicle_017,2250.08,288.79,404371,2.134,0.233,-2.2409,0.9141
Vehicle_018,1653.28,230.29,154907,1.541,0.312,-2.3458,0.9004
Vehicle_019,1774.95,260.67,351915,2.241,0.318,-2.1080,0.8959
Vehicle_020,2446.10,330.49,526849,2.336,0.329,-2.0917,0.9030
Vehicle_021,1849.89,192.23,63041,0.929,0.282,-2.5978,0.8968
Vehicle_022,266.97,27.44,18044,1.308,0.375,-2.3360,0.8932
Vehicle_023,2167.21,272.31,245081,1.692,0.212,-2.3489,0.9060
Vehicle_024,1032.52,114.80,101183,1.576,0.217,-2.3526,0.9073
Vehicle_025,1434.00,144.86,56896,1.003,0.320,-2.4879,0.8936
Vehicle_026,1303.65,180.58,293021,2.386,0.275,-2.1183,0.9062
Vehicle_027,1706.20,191.72,330716,2.216,0.207,-2.2606,0.9075
Vehicle_028,429.73,60.76,22776,1.159,0.333,-2.5430,0.9005
Vehicle_029,871.31,115.51,49381,1.198,0.390,-2.4710,0.9023
Vehicle_030,1354.17,196.61,49041,0.958,0.221,-2.7815,0.9036
Vehicle_031,206.77,24.36,21027,1.605,0.302,-2.2844,0.9010
Vehicle_032,2217.02,290.27,444513,2.254,0.285,-2.1387,0.9032
Vehicle_033,2356.57,236.92,271407,1.708,0.342,-2.2066,0.8937
Vehicle_034,2016.35,271.18,102383,1.134,0.325,-2.5393,0.9027
Vehicle_035,1184.97,136.82,99009,1.455,0.394,-2.3179,0.8988
Vehicle_036,397.06,51.70,56389,1.897,0.308,-2.2033,0.9065
Vehicle_037,1078.87,148.60,188631,2.104,0.209,-2.2643,0.9049
Vehicle_038,1244.19,179.23,221933,2.126,0.396,-2.1190,0.8916
Vehicle_039,1016.20,116.01,212886,2.304,0.306,-2.1475,0.9071
Vehicle_040,1388.89,207.80,207383,1.945,0.295,-2.2029,0.8971
Vehicle_041,2309.47,341.76,547464,2.450,0.292,-2.1198,0.9066
Vehicle_042,747.96,89.83,20229,0.828,0.306,-2.7568,0.8966
Vehicle_043,1059.05,124.17,195211,2.161,0.249,-2.1847,0.9093
Vehicle_044,472.98,55.33,22189,1.090,0.254,-2.5704,0.9009
Vehicle_045,1173.78,132.20,85851,1.361,0.342,-2.3453,0.8940
Vehicle_046,1656.57,225.86,140324,1.465,0.255,-2.3660,0.9015
Vehicle_047,672.36,80.65,45952,1.316,0.335,-2.4017,0.8973
Vehicle_048,296.95,40.05,61560,2.292,0.336,-2.1044,0.9000
Vehicle_049,194.12,20.36,33087,2.078,0.304,-2.1443,0.9075
Vehicle_050,1592.91,164.62,303298,2.196,0.258,-2.1768,0.9107
Vehicle_051,1283.23,175.71,54634,1.038,0.277,-2.5840,0.8967
Vehicle_052,2194.17,242.81,468690,2.326,0.248,-2.1699,0.9146
Vehicle_053,1228.14,132.28,300948,2.491,0.313,-2.1059,0.8946
Vehicle_054,991.31,132.47,115957,1.721,0.391,-2.2456,0.9033
Vehicle_055,240.92,34.89,15849,1.291,0.322,-2.4210,0.8988
Vehicle_056,2116.93,296.42,185215,1.489,0.289,-2.3295,0.8967
Vehicle_057,613.27,74.96,77338,1.787,0.236,-2.3007,0.9025
Vehicle_058,2062.10,258.36,422155,2.277,0.352,-2.1006,0.9005
Vehicle_059,1819.29,238.51,403717,2.371,0.230,-2.2252,0.9104
Vehicle_060,891.02,91.28,27779,0.889,0.226,-2.6810,0.8962
Vehicle_061,1470.01,168.66,234568,2.010,0.374,-2.1267,0.9053
Vehicle_062,1874.76,204.90,69962,0.972,0.321,-2.5708,0.8937
Vehicle_063,2279.71,270.30,105318,1.082,0.203,-2.6664,0.9068
Vehicle_064,1337.83,142.65,222778,2.054,0.216,-2.2546,0.9091
Vehicle_065,483.31,64.38,91696,2.192,0.244,-2.1839,0.9015
Vehicle_066,663.56,95.51,18352,0.837,0.287,-2.7749,0.8958
Vehicle_067,339.86,38.55,74803,2.361,0.367,-2.1134,0.9047
Vehicle_068,1627.79,202.52,250065,1.973,0.332,-2.1612,0.9044
Vehicle_069,172.25,25.20,26657,1.980,0.205,-2.3042,0.9058
Vehicle_070,1952.03,217.80,95707,1.114,0.268,-2.4883,0.8922
Vehicle_071,1934.98,256.14,148000,1.392,0.386,-2.3505,0.8989
Vehicle_072,1805.08,223.49,130630,1.354,0.238,-2.4498,0.9116
Vehicle_073,1571.19,171.22,56130,0.951,0.346,-2.5898,0.8951
Vehicle_074,927.27,107.61,147207,2.005,0.226,-2.2364,0.9059
Vehicle_075,267.98,30.46,6828,0.803,0.298,-2.7610,0.8902
Vehicle_076,1142.19,116.21,37894,0.917,0.241,-2.6627,0.9028
Vehicle_077,764.35,105.62,100958,1.829,0.279,-2.2450,0.9014
Vehicle_078,707.74,85.84,116120,2.039,0.261,-2.1958,0.9092
Vehicle_079,826.03,87.84,24217,0.862,0.361,-2.6535,0.9043
Vehicle_080,1527.58,163.49,61439,1.009,0.399,-2.5496,0.9032
Vehicle_081,2313.97,294.41,70233,0.877,0.213,-2.8089,0.9071
Vehicle_082,623.56,62.50,49492,1.418,0.264,-2.3171,0.8996
Vehicle_083,793.13,112.54,107059,1.849,0.339,-2.2217,0.8997
Vehicle_084,2413.17,264.71,131836,1.176,0.224,-2.5216,0.9089
Vehicle_085,523.77,55.27,67566,1.808,0.264,-2.2246,0.9098
Vehicle_086,922.27,128.84,221539,2.467,0.326,-2.0914,0.9027
Vehicle_087,2223.11,332.07,230183,1.619,0.380,-2.2841,0.8900
Vehicle_088,582.63,79.19,107155,2.158,0.259,-2.1814,0.9099
Vehicle_089,1264.72,131.83,134334,1.640,0.371,-2.2347,0.9055
Vehicle_090,837.05,96.85,114006,1.857,0.293,-2.1913,0.9008
